https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAI,Volume USD
1677898800000,2023-03-04 03:00:00,DAI/USD,1.00001,1.00001,1.00001,1.00001,0.0,0.0
1677895200000,2023-03-04 02:00:00,DAI/USD,1.00001,1.00001,1.00001,1.00001,0.0,0.0
1677891600000,2023-03-04 01:00:00,DAI/USD,1.00001,1.00001,1.00001,1.00001,0.0,0.0
1677888000000,2023-03-04 00:00:00,DAI/USD,1.0044,1.03178,1.00001,1.00001,2000.974019,2000.99402874019
1677884400000,2023-03-03 23:00:00,DAI/USD,1.0249,1.03478,1.0044,1.0044,7919.727554,7954.5743552376
1677880800000,2023-03-03 22:00:00,DAI/USD,0.999,1.0249,0.9975,1.0249,26484.118137,27143.5726786113
1677877200000,2023-03-03 21:00:00,DAI/USD,0.99995,1.00078,0.999,0.999,5053.410842,5048.3574311580005
1677873600000,2023-03-03 20:00:00,DAI/USD,0.99901,1.00078,0.99901,0.99995,37878.000027,37876.10612699865
1677870000000,2023-03-03 19:00:00,DAI/USD,0.99951,0.99997,0.99669,0.99901,13698.770053,13685.20827064753
1677866400000,2023-03-03 18:00:00,DAI/USD,0.99951,0.99951,0.99951,0.99951,0.0,0.0
1677862800000,2023-03-03 17:00:00,DAI/USD,1.00057,1.00057,0.99757,0.99951,7532.123493,7528.43275248843
1677859200000,2023-03-03 16:00:00,DAI/USD,0.99997,1.00057,0.99997,1.00057,12.65936,12.6665758352
1677855600000,2023-03-03 15:00:00,DAI/USD,0.99997,1.00057,0.99997,0.99997,2622.323037,2622.24436730889
1677852000000,2023-03-03 14:00:00,DAI/USD,0.99997,0.99997,0.99997,0.99997,0.143347,0.14334269959
1677848400000,2023-03-03 13:00:00,DAI/USD,0.99997,0.99997,0.99997,0.99997,0.0,0.0
1677844800000,2023-03-03 12:00:00,DAI/USD,0.99997,0.99997,0.99997,0.99997,1.123983,1.12394928051
