https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAT,Volume USD
1643385600000,2022-01-28 16:00:00,BAT/USD,0.84903,0.86414,0.84719,0.85667,1506.205999,1290.3214931633302
1643382000000,2022-01-28 15:00:00,BAT/USD,0.83718,0.85017,0.83543,0.84903,82912.457417,70395.1637207555
1643378400000,2022-01-28 14:00:00,BAT/USD,0.85299,0.85487,0.83718,0.83718,29729.243973,24888.728469316142
1643374800000,2022-01-28 13:00:00,BAT/USD,0.82743,0.85299,0.82743,0.85299,1895.995014,1617.26478699186
1643371200000,2022-01-28 12:00:00,BAT/USD,0.84476,0.85003,0.82743,0.82743,2216.088033,1833.65772114519
1643367600000,2022-01-28 11:00:00,BAT/USD,0.84544,0.8473,0.84351,0.84476,64.753207,54.70091914532
1643364000000,2022-01-28 10:00:00,BAT/USD,0.85084,0.85448,0.84544,0.84544,108.773419,91.96139935936
1643360400000,2022-01-28 09:00:00,BAT/USD,0.85164,0.8637,0.84912,0.85084,1165.484314,991.6406737237601
1643356800000,2022-01-28 08:00:00,BAT/USD,0.85989,0.85989,0.8439,0.85164,1119.246045,953.1947017638
1643353200000,2022-01-28 07:00:00,BAT/USD,0.86329,0.87609,0.85845,0.85989,5668.412219,4874.21098299591
1643349600000,2022-01-28 06:00:00,BAT/USD,0.85369,0.87686,0.85369,0.86329,2262.579797,1953.2625129521298
1643346000000,2022-01-28 05:00:00,BAT/USD,0.85137,0.85534,0.85105,0.85369,2186.685268,1866.75134643892
1643342400000,2022-01-28 04:00:00,BAT/USD,0.8685,0.86901,0.85137,0.85137,1484.961857,1264.25197619409
1643338800000,2022-01-28 03:00:00,BAT/USD,0.84651,0.8685,0.84651,0.8685,1968.38205,1709.539810425
1643335200000,2022-01-28 02:00:00,BAT/USD,0.83492,0.84652,0.8296,0.84651,2148.624744,1818.8323320434401
1643331600000,2022-01-28 01:00:00,BAT/USD,0.83206,0.84474,0.81666,0.83492,2650.98039,2213.3565472188
1643328000000,2022-01-28 00:00:00,BAT/USD,0.83406,0.8494,0.83024,0.83206,17144.27028,14265.0615291768
1643324400000,2022-01-27 23:00:00,BAT/USD,0.82545,0.83585,0.81951,0.83406,748.365407,624.18165136242
1643320800000,2022-01-27 22:00:00,BAT/USD,0.82306,0.83069,0.80444,0.82545,3728.451454,3077.6502527043
1643317200000,2022-01-27 21:00:00,BAT/USD,0.81011,0.82731,0.79981,0.82306,1275.690884,1049.9701389850402
1643313600000,2022-01-27 20:00:00,BAT/USD,0.83126,0.83743,0.80883,0.81011,2481.021539,2009.9003589592899
1643310000000,2022-01-27 19:00:00,BAT/USD,0.83722,0.84545,0.82743,0.83126,10090.924634,8388.182011258841
1643306400000,2022-01-27 18:00:00,BAT/USD,0.84924,0.84924,0.83457,0.83722,5995.802692,5019.80592979624
1643302800000,2022-01-27 17:00:00,BAT/USD,0.83884,0.84925,0.83395,0.84924,3475.831265,2951.8149434886
1643299200000,2022-01-27 16:00:00,BAT/USD,0.83995,0.84373,0.82411,0.83884,18231.352743,15293.18793493812
1643295600000,2022-01-27 15:00:00,BAT/USD,0.84545,0.8564,0.83691,0.83995,44528.115509,37401.39062178455
1643292000000,2022-01-27 14:00:00,BAT/USD,0.8296,0.84545,0.8296,0.84545,3219.781798,2722.1645211191003
1643288400000,2022-01-27 13:00:00,BAT/USD,0.83156,0.84023,0.82628,0.8296,5607.053338,4651.6114492048
1643284800000,2022-01-27 12:00:00,BAT/USD,0.81862,0.83275,0.81862,0.83156,2103.435138,1749.1325233552798
