https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume YFI,Volume USD
1604984400000,2020-11-10 05:00:00,YFI/USD,16767.65,17368.35,16512.77,17227.08,7.24382,124789.86664560002
1604980800000,2020-11-10 04:00:00,YFI/USD,15842.14,17438.0,15842.14,16767.65,10.86561117,182190.76513465052
1604977200000,2020-11-10 03:00:00,YFI/USD,15582.03,15905.93,15443.44,15842.14,1.9970541,31637.610639773997
1604973600000,2020-11-10 02:00:00,YFI/USD,15667.55,16069.97,15522.2,15582.03,3.086194,48089.16749382
1604970000000,2020-11-10 01:00:00,YFI/USD,14904.6,15675.29,14881.37,15667.55,2.890968,45294.3856884
1604966400000,2020-11-10 00:00:00,YFI/USD,15047.14,15047.14,14677.84,14904.6,0.616916,9194.8862136
1604962800000,2020-11-09 23:00:00,YFI/USD,14834.57,15047.14,14802.4,15047.14,0.578616,8706.51595824
1604959200000,2020-11-09 22:00:00,YFI/USD,15097.61,15242.0,14707.72,14834.57,1.22784496,18214.5520082672
1604955600000,2020-11-09 21:00:00,YFI/USD,15196.8,15408.64,15097.61,15097.61,0.239599,3617.3722583900003
1604952000000,2020-11-09 20:00:00,YFI/USD,15012.43,15235.09,14889.19,15196.8,1.03562,15738.110015999999
1604948400000,2020-11-09 19:00:00,YFI/USD,15151.91,15151.91,14970.02,15012.43,0.384194,5767.68553142
1604944800000,2020-11-09 18:00:00,YFI/USD,15185.26,15236.35,15051.38,15151.91,0.34345143,5203.9451567313
1604941200000,2020-11-09 17:00:00,YFI/USD,14921.14,15245.48,14778.23,15185.26,1.347854,20467.513432040003
1604937600000,2020-11-09 16:00:00,YFI/USD,14550.0,14921.14,14395.91,14921.14,0.316233,4718.556865619999
1604934000000,2020-11-09 15:00:00,YFI/USD,14774.12,14774.12,14248.94,14550.0,0.92770729,13498.1410695
1604930400000,2020-11-09 14:00:00,YFI/USD,14553.56,14977.5,14553.56,14774.12,0.34692783,5125.5533917596
1604926800000,2020-11-09 13:00:00,YFI/USD,14883.73,14883.73,14548.34,14553.56,0.238589,3472.31932684
1604923200000,2020-11-09 12:00:00,YFI/USD,15561.16,15561.16,14883.73,14883.73,1.288162,19172.65540426
1604919600000,2020-11-09 11:00:00,YFI/USD,15177.6,15634.28,15170.99,15561.16,0.832209,12950.13740244
1604916000000,2020-11-09 10:00:00,YFI/USD,14739.01,15177.6,14739.01,15177.6,1.12037,17004.527712000003
1604912400000,2020-11-09 09:00:00,YFI/USD,14356.31,14739.01,14356.31,14739.01,0.08,1179.1208000000001
