https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USD
1687651200000,2023-06-25 00:00:00,LINK/USD,6.15661,6.20099,6.13647,6.17128,1742.531368,10753.64898071104
1687647600000,2023-06-24 23:00:00,LINK/USD,6.13101,6.16469,6.12848,6.15661,226.688514,1395.63277217754
1687644000000,2023-06-24 22:00:00,LINK/USD,6.08755,6.14547,6.08595,6.13101,220.229712,1350.23056656912
1687640400000,2023-06-24 21:00:00,LINK/USD,6.06345,6.09685,6.01132,6.08755,87.368149,531.8579754449501
1687636800000,2023-06-24 20:00:00,LINK/USD,6.08514,6.11748,6.05369,6.06345,633.925469,3843.77538500805
1687633200000,2023-06-24 19:00:00,LINK/USD,6.06067,6.08666,6.06067,6.08514,48.259023,293.66291121822
1687629600000,2023-06-24 18:00:00,LINK/USD,6.03934,6.0701,6.03934,6.06067,194.22151,1177.1124790116999
1687626000000,2023-06-24 17:00:00,LINK/USD,5.99484,6.05472,5.99484,6.03934,121.072678,731.19906715252
1687622400000,2023-06-24 16:00:00,LINK/USD,6.0288,6.03041,5.98499,5.99484,9496.756944,56931.53839816897
1687618800000,2023-06-24 15:00:00,LINK/USD,6.12,6.12282,5.96584,6.0288,231.236987,1394.0815472256002
1687615200000,2023-06-24 14:00:00,LINK/USD,6.10234,6.12,6.08471,6.12,148.99351,911.8402811999999
1687611600000,2023-06-24 13:00:00,LINK/USD,6.13747,6.13747,6.09313,6.10234,549.052001,3350.50198778234
1687608000000,2023-06-24 12:00:00,LINK/USD,6.14354,6.18335,6.13747,6.13747,25.833948,158.55508083156002
1687604400000,2023-06-24 11:00:00,LINK/USD,6.1415,6.17773,6.1415,6.14354,730.132158,4485.59611795932
1687600800000,2023-06-24 10:00:00,LINK/USD,6.07617,6.1415,6.07617,6.1415,2.920082,17.933683603
1687597200000,2023-06-24 09:00:00,LINK/USD,6.07086,6.09951,6.07086,6.07617,4.097243,24.89554499931
1687593600000,2023-06-24 08:00:00,LINK/USD,6.04185,6.07185,6.04185,6.07086,149.124034,905.31113304924
1687590000000,2023-06-24 07:00:00,LINK/USD,6.08176,6.08398,6.04185,6.04185,21.507848,129.9471914388
1687586400000,2023-06-24 06:00:00,LINK/USD,6.09424,6.09424,6.0804,6.08176,1.931387,11.74623220112
1687582800000,2023-06-24 05:00:00,LINK/USD,6.09284,6.10544,6.0821,6.09424,40.992004,249.81511045696
1687579200000,2023-06-24 04:00:00,LINK/USD,6.13197,6.13197,6.09284,6.09284,160.411682,977.3627125568801
1687575600000,2023-06-24 03:00:00,LINK/USD,6.08024,6.13197,6.08024,6.13197,799.148494,4900.35459075318
1687572000000,2023-06-24 02:00:00,LINK/USD,6.02623,6.11086,6.02623,6.08024,71.633336,435.54787488064
1687568400000,2023-06-24 01:00:00,LINK/USD,6.01656,6.05402,6.00959,6.02623,348.821754,2102.08011860742
1687564800000,2023-06-24 00:00:00,LINK/USD,6.06573,6.08367,6.01656,6.01656,183.359003,1103.19044308968
1687561200000,2023-06-23 23:00:00,LINK/USD,6.04127,6.09011,6.04127,6.06573,613.469073,3721.1377601682902
1687557600000,2023-06-23 22:00:00,LINK/USD,6.05602,6.05602,6.02773,6.04127,66.286172,400.45266231843993
1687554000000,2023-06-23 21:00:00,LINK/USD,6.11203,6.14146,6.05602,6.05602,668.717937,4049.7692008307404
1687550400000,2023-06-23 20:00:00,LINK/USD,6.08385,6.16269,6.07,6.11203,5173.774772,31622.26661970716
1687546800000,2023-06-23 19:00:00,LINK/USD,6.11159,6.14761,6.06101,6.08385,587.406528,3573.6932053728
1687543200000,2023-06-23 18:00:00,LINK/USD,6.13691,6.13936,6.07168,6.11159,1178.489922,7202.447222395979
1687539600000,2023-06-23 17:00:00,LINK/USD,6.06,6.14954,6.02368,6.13691,4584.387301,28133.97227137991
1687536000000,2023-06-23 16:00:00,LINK/USD,5.98964,6.09246,5.96455,6.06,2608.983125,15810.4377375
1687532400000,2023-06-23 15:00:00,LINK/USD,5.88791,6.03811,5.87738,5.98964,5123.723998,30689.26220738072
1687528800000,2023-06-23 14:00:00,LINK/USD,5.7832,5.92962,5.7832,5.88791,1003.441348,5908.17234730268
1687525200000,2023-06-23 13:00:00,LINK/USD,5.82709,5.85831,5.7832,5.7832,4519.953147,26139.7930397304
1687521600000,2023-06-23 12:00:00,LINK/USD,5.87132,5.87416,5.8,5.82709,103.977241,605.88474125869
1687518000000,2023-06-23 11:00:00,LINK/USD,5.84755,5.90094,5.84755,5.87132,332.968998,1954.96753733736
1687514400000,2023-06-23 10:00:00,LINK/USD,5.84233,5.87944,5.84233,5.84755,1.40521,8.2170357355
