https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD
1652817600000,2022-05-17 20:00:00,AAVE/USD,88.8797,89.0446,88.2958,88.3767,12.711699,1123.4180090133
1652814000000,2022-05-17 19:00:00,AAVE/USD,86.4646,89.4804,86.1519,88.8797,39.286749,3491.7944650953
1652810400000,2022-05-17 18:00:00,AAVE/USD,88.4931,88.9168,85.3354,86.4646,190.24072,16449.087758512003
1652806800000,2022-05-17 17:00:00,AAVE/USD,89.2088,89.6336,88.4931,88.4931,30.585375,2706.5946484124997
1652803200000,2022-05-17 16:00:00,AAVE/USD,89.5405,89.5405,87.793,89.2088,465.277295,41506.829154196
1652799600000,2022-05-17 15:00:00,AAVE/USD,88.9707,89.9648,88.3108,89.5405,23.032881,2062.3756811804997
1652796000000,2022-05-17 14:00:00,AAVE/USD,92.0022,92.0481,88.7483,88.9707,62.66624,5575.459239168
1652792400000,2022-05-17 13:00:00,AAVE/USD,92.2637,93.7412,90.8352,92.0022,631.612646,58109.752979821205
1652788800000,2022-05-17 12:00:00,AAVE/USD,88.8706,92.2637,88.8706,92.2637,15.37228,1418.303430236
1652785200000,2022-05-17 11:00:00,AAVE/USD,89.6384,90.0908,88.4622,88.8706,59.857004,5319.5278596824
1652781600000,2022-05-17 10:00:00,AAVE/USD,89.948,90.0608,89.1207,89.6384,1.776306,159.2252277504
1652778000000,2022-05-17 09:00:00,AAVE/USD,89.4838,90.7632,89.4838,89.948,0.831145,74.75983046
1652774400000,2022-05-17 08:00:00,AAVE/USD,89.6121,90.3321,88.9854,89.4838,6.224828,557.0212637864
1652770800000,2022-05-17 07:00:00,AAVE/USD,91.2338,91.2839,89.2883,89.6121,15.46663,1385.997194223
1652767200000,2022-05-17 06:00:00,AAVE/USD,90.6719,91.2338,90.0622,91.2338,5.651859,515.6405736342
1652763600000,2022-05-17 05:00:00,AAVE/USD,90.9275,90.9714,89.9058,90.6719,1.439629,130.5338967251
1652760000000,2022-05-17 04:00:00,AAVE/USD,89.5956,91.2595,89.5752,90.9275,18.551194,1686.813692435
1652756400000,2022-05-17 03:00:00,AAVE/USD,87.9602,90.2575,87.8433,89.5956,77.936301,6982.7496498756
1652752800000,2022-05-17 02:00:00,AAVE/USD,88.3415,89.2913,87.4736,87.9602,8.423238,740.9096991276
1652749200000,2022-05-17 01:00:00,AAVE/USD,87.3147,88.6274,86.0557,88.3415,169.154391,14943.3526325265
1652745600000,2022-05-17 00:00:00,AAVE/USD,83.8911,87.7164,83.8911,87.3147,52.763032,4606.9883101704
1652742000000,2022-05-16 23:00:00,AAVE/USD,85.4023,85.8976,83.6237,83.8911,121.934194,10229.1936622734
1652738400000,2022-05-16 22:00:00,AAVE/USD,85.7448,86.7904,85.0472,85.4023,16.128469,1377.4083480786999
