https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LRC,Volume USD
1703581200000,2023-12-26 09:00:00,LRC/USD,0.29564,0.29564,0.29564,0.29564,0.0,0.0
1703577600000,2023-12-26 08:00:00,LRC/USD,0.29564,0.29564,0.29564,0.29564,0.0,0.0
1703574000000,2023-12-26 07:00:00,LRC/USD,0.2955,0.29564,0.2955,0.29564,713.259176,210.86794279264
1703570400000,2023-12-26 06:00:00,LRC/USD,0.29551,0.29551,0.2955,0.2955,4727.598531,1397.0053659105
1703566800000,2023-12-26 05:00:00,LRC/USD,0.30904,0.30904,0.2955,0.29551,4140.846552,1223.66156458152
1703563200000,2023-12-26 04:00:00,LRC/USD,0.30012,0.30905,0.30012,0.30904,610.376145,188.63064385079997
1703559600000,2023-12-26 03:00:00,LRC/USD,0.30012,0.30012,0.30012,0.30012,0.0,0.0
1703556000000,2023-12-26 02:00:00,LRC/USD,0.30213,0.30213,0.30012,0.30012,134.0,40.21608
1703552400000,2023-12-26 01:00:00,LRC/USD,0.30021,0.30854,0.30021,0.30213,1229.062497,371.33665221860997
1703548800000,2023-12-26 00:00:00,LRC/USD,0.30083,0.30111,0.30021,0.30021,10253.204164,3078.11442207444
1703545200000,2023-12-25 23:00:00,LRC/USD,0.30541,0.31072,0.30083,0.30083,2606.717693,784.17888358519
1703541600000,2023-12-25 22:00:00,LRC/USD,0.30019,0.30541,0.30019,0.30541,2229.883827,681.0288196040701
1703538000000,2023-12-25 21:00:00,LRC/USD,0.29628,0.30019,0.29628,0.30019,925.619647,277.86176183293003
1703534400000,2023-12-25 20:00:00,LRC/USD,0.3,0.3,0.28992,0.29628,388.817872,115.19895911616
1703530800000,2023-12-25 19:00:00,LRC/USD,0.3,0.3,0.3,0.3,0.0,0.0
1703527200000,2023-12-25 18:00:00,LRC/USD,0.29453,0.30273,0.29453,0.3,89.676405,26.9029215
1703523600000,2023-12-25 17:00:00,LRC/USD,0.30211,0.30211,0.29422,0.29453,521.559231,153.61484030642998
1703520000000,2023-12-25 16:00:00,LRC/USD,0.30211,0.30211,0.30211,0.30211,0.0,0.0
1703516400000,2023-12-25 15:00:00,LRC/USD,0.30123,0.30211,0.30123,0.30211,72.84089,22.0059612779
1703512800000,2023-12-25 14:00:00,LRC/USD,0.29995,0.30123,0.29995,0.30123,10689.77605,3220.0812395415
