https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MANA,Volume USD
1647446400000,2022-03-16 16:00:00,MANA/USD,2.34249,2.34446,2.3182,2.32888,2658.99858,6192.4886129904
1647442800000,2022-03-16 15:00:00,MANA/USD,2.35465,2.35755,2.34161,2.34249,2533.538578,5934.788783579221
1647439200000,2022-03-16 14:00:00,MANA/USD,2.32896,2.35676,2.32896,2.35465,553.267118,1302.7504193987
1647435600000,2022-03-16 13:00:00,MANA/USD,2.32532,2.3306,2.31185,2.32896,4500.833987,10482.26232236352
1647432000000,2022-03-16 12:00:00,MANA/USD,2.35032,2.35032,2.32514,2.32532,1959.324913,4556.05740669716
1647428400000,2022-03-16 11:00:00,MANA/USD,2.33814,2.35106,2.33081,2.35032,1330.245636,3126.5029232035204
1647424800000,2022-03-16 10:00:00,MANA/USD,2.35161,2.35668,2.33153,2.33814,6476.912882,15143.92908591948
1647421200000,2022-03-16 09:00:00,MANA/USD,2.35102,2.37789,2.34813,2.35161,15843.009826,37256.58033691986
1647417600000,2022-03-16 08:00:00,MANA/USD,2.35865,2.35999,2.33147,2.35102,5877.537725,13818.2087422295
1647414000000,2022-03-16 07:00:00,MANA/USD,2.30838,2.36102,2.29381,2.35865,8138.952796,19196.9410122854
1647410400000,2022-03-16 06:00:00,MANA/USD,2.27124,2.32761,2.27124,2.30838,4820.935464,11128.551006388321
1647406800000,2022-03-16 05:00:00,MANA/USD,2.25982,2.27476,2.25866,2.27124,1931.744148,4387.45457870352
1647403200000,2022-03-16 04:00:00,MANA/USD,2.25739,2.26308,2.24888,2.25982,1423.677583,3217.25507561506
1647399600000,2022-03-16 03:00:00,MANA/USD,2.30813,2.31168,2.25103,2.25739,5737.645487,12952.10354589893
1647396000000,2022-03-16 02:00:00,MANA/USD,2.27753,2.34786,2.27753,2.30813,15028.226629,34687.10072919377
1647392400000,2022-03-16 01:00:00,MANA/USD,2.26128,2.29135,2.2573,2.27753,1211.226971,2758.6057632616303
1647388800000,2022-03-16 00:00:00,MANA/USD,2.27141,2.27922,2.25719,2.26128,4095.569113,9261.22852384464
1647385200000,2022-03-15 23:00:00,MANA/USD,2.27555,2.28343,2.26654,2.27141,3707.781472,8421.89191331552
1647381600000,2022-03-15 22:00:00,MANA/USD,2.2849,2.2919,2.27453,2.27555,1790.982907,4075.47115402385
1647378000000,2022-03-15 21:00:00,MANA/USD,2.26293,2.2849,2.25718,2.2849,37636.855372,85996.45083948279
1647374400000,2022-03-15 20:00:00,MANA/USD,2.28034,2.29157,2.26284,2.26293,7518.885083,17014.71062087319
1647370800000,2022-03-15 19:00:00,MANA/USD,2.27793,2.29341,2.27346,2.28034,11287.52143,25739.3866176862
1647367200000,2022-03-15 18:00:00,MANA/USD,2.26462,2.27805,2.25971,2.27793,6207.59007,14140.4556481551
1647363600000,2022-03-15 17:00:00,MANA/USD,2.26827,2.27132,2.24367,2.26462,9010.355782,20405.03191103284
1647360000000,2022-03-15 16:00:00,MANA/USD,2.25185,2.27488,2.25185,2.26827,3519.83328,7983.9322340255985
1647356400000,2022-03-15 15:00:00,MANA/USD,2.25782,2.26678,2.24976,2.25185,1001.511218,2255.2530362533003
1647352800000,2022-03-15 14:00:00,MANA/USD,2.245,2.2662,2.24263,2.25782,4322.748289,9759.987541869981
1647349200000,2022-03-15 13:00:00,MANA/USD,2.2527,2.25542,2.23208,2.245,3074.418117,6902.068672665001
1647345600000,2022-03-15 12:00:00,MANA/USD,2.24317,2.25714,2.24129,2.2527,3427.790656,7721.7840107712
1647342000000,2022-03-15 11:00:00,MANA/USD,2.24524,2.25004,2.23583,2.24317,1402.277761,3145.5474051423703
1647338400000,2022-03-15 10:00:00,MANA/USD,2.2387,2.24524,2.2387,2.24524,1433.444226,3218.42631398424
1647334800000,2022-03-15 09:00:00,MANA/USD,2.23704,2.24502,2.23063,2.2387,1088.526408,2436.8840695896
1647331200000,2022-03-15 08:00:00,MANA/USD,2.24836,2.24836,2.23505,2.23704,538.504758,1204.65668383632
1647327600000,2022-03-15 07:00:00,MANA/USD,2.2621,2.2621,2.23174,2.24836,7679.560658,17266.41700102088
1647324000000,2022-03-15 06:00:00,MANA/USD,2.26291,2.27258,2.26051,2.2621,220.483011,498.75461918310003
1647320400000,2022-03-15 05:00:00,MANA/USD,2.26496,2.26669,2.25611,2.26291,1939.81803,4389.6336182673
1647316800000,2022-03-15 04:00:00,MANA/USD,2.26448,2.27192,2.26349,2.26496,978.460619,2216.1741636102397
1647313200000,2022-03-15 03:00:00,MANA/USD,2.28266,2.28462,2.26323,2.26448,2402.583975,5440.6033597079995
1647309600000,2022-03-15 02:00:00,MANA/USD,2.28204,2.28686,2.27437,2.28266,2476.994456,5654.136164932959
1647306000000,2022-03-15 01:00:00,MANA/USD,2.31364,2.31589,2.27422,2.28204,24915.86188,56858.9934446352
1647302400000,2022-03-15 00:00:00,MANA/USD,2.30657,2.32382,2.29698,2.31364,5228.998052,12098.01905302928
1647298800000,2022-03-14 23:00:00,MANA/USD,2.29287,2.30979,2.29287,2.30657,2851.641617,6577.51100452369
1647295200000,2022-03-14 22:00:00,MANA/USD,2.2627,2.30316,2.2627,2.29287,4672.456324,10713.334931609881
1647291600000,2022-03-14 21:00:00,MANA/USD,2.25756,2.27259,2.25756,2.2627,1241.957584,2810.1774253168
1647288000000,2022-03-14 20:00:00,MANA/USD,2.26396,2.27602,2.25722,2.25756,3934.936965,8883.3562947054
1647284400000,2022-03-14 19:00:00,MANA/USD,2.2517,2.26462,2.24349,2.26396,6007.711256,13601.217975133759
1647280800000,2022-03-14 18:00:00,MANA/USD,2.25718,2.26319,2.24008,2.2517,5031.940447,11330.4203045099
1647277200000,2022-03-14 17:00:00,MANA/USD,2.28073,2.28073,2.25325,2.25718,4504.625588,10167.75078472184
1647273600000,2022-03-14 16:00:00,MANA/USD,2.27999,2.28859,2.27422,2.28073,1007.804564,2298.53010325172
1647270000000,2022-03-14 15:00:00,MANA/USD,2.2841,2.28858,2.27699,2.27999,2525.665516,5758.49211982484
1647266400000,2022-03-14 14:00:00,MANA/USD,2.28737,2.29846,2.27807,2.2841,3392.714188,7749.2984768108
1647262800000,2022-03-14 13:00:00,MANA/USD,2.28412,2.29615,2.27543,2.28737,3887.114029,8891.26801651373
1647259200000,2022-03-14 12:00:00,MANA/USD,2.28815,2.28815,2.27341,2.28412,3767.648289,8605.76080987068
1647255600000,2022-03-14 11:00:00,MANA/USD,2.29971,2.30093,2.28618,2.28815,2334.126593,5340.83176377295
1647252000000,2022-03-14 10:00:00,MANA/USD,2.31389,2.31389,2.29526,2.29971,407.073364,936.1506859244402
1647248400000,2022-03-14 09:00:00,MANA/USD,2.30659,2.31389,2.30489,2.31389,59.535697,137.75905393133
1647244800000,2022-03-14 08:00:00,MANA/USD,2.30507,2.31918,2.3004,2.30659,960.073665,2214.49631495235
1647241200000,2022-03-14 07:00:00,MANA/USD,2.29044,2.30507,2.29044,2.30507,951.55657,2193.4045028099
1647237600000,2022-03-14 06:00:00,MANA/USD,2.27879,2.29846,2.27879,2.29044,2132.026214,4883.2781215941595
1647234000000,2022-03-14 05:00:00,MANA/USD,2.28299,2.2911,2.27777,2.27879,915.181521,2085.5064982395897
1647230400000,2022-03-14 04:00:00,MANA/USD,2.26553,2.31086,2.26553,2.28299,5165.347225,11792.43606120275
1647226800000,2022-03-14 03:00:00,MANA/USD,2.2571,2.26619,2.249,2.26553,1894.241594,4291.46115845482
1647223200000,2022-03-14 02:00:00,MANA/USD,2.25662,2.26224,2.24647,2.2571,7346.645719,16582.1140523549
1647219600000,2022-03-14 01:00:00,MANA/USD,2.24552,2.27279,2.24523,2.25662,4461.574861,10068.07906282982
1647216000000,2022-03-14 00:00:00,MANA/USD,2.25531,2.25531,2.22674,2.24552,7010.769148,15742.82233721696
1647212400000,2022-03-13 23:00:00,MANA/USD,2.24221,2.25779,2.23317,2.25531,4792.467737,10808.50041193347
1647208800000,2022-03-13 22:00:00,MANA/USD,2.32079,2.32454,2.23769,2.24221,15456.457961,34656.62460473381
1647205200000,2022-03-13 21:00:00,MANA/USD,2.31662,2.322,2.31346,2.32079,1322.39801,3069.0080776279005
1647201600000,2022-03-13 20:00:00,MANA/USD,2.3247,2.3247,2.30768,2.31662,2006.716269,4648.799043090779
1647198000000,2022-03-13 19:00:00,MANA/USD,2.33029,2.33905,2.3247,2.3247,3304.658473,7682.3395521831
